Block_size_B,Trees,Total_time_s,Best_val_AUC,Speedup,AUC_gap
1,200,4.2,0.916,1.00x,0.0
2,200,13.6,0.9108,0.31x,0.0052
3,200,9.7,0.90685,0.43x,0.00915
4,200,7.5,0.90506,0.56x,0.01094
