dataset,block,tree_in_block,B,alpha,r_norm,alpha_positive,converged
IEEE_CIS,26,1,2,0.15096541,66.400691,True,False
IEEE_CIS,27,0,2,0.16321098,66.28506,True,False
IEEE_CIS,27,1,2,0.15344186,66.28506,True,False
IEEE_CIS,28,0,2,0.14796356,66.166662,True,False
IEEE_CIS,28,1,2,0.15912266,66.166662,True,False
IEEE_CIS,29,0,2,0.16235913,66.042614,True,False
IEEE_CIS,29,1,2,0.14650059,66.042614,True,False
IEEE_CIS,0,0,4,0.18138802,68.365618,True,False
IEEE_CIS,0,1,4,0.19366261,68.365618,True,False
IEEE_CIS,0,2,4,0.19682271,68.365618,True,False
IEEE_CIS,0,3,4,0.1755895,68.365618,True,False
IEEE_CIS,1,0,4,0.19175111,68.327143,True,False
IEEE_CIS,1,1,4,0.18098895,68.327143,True,False
IEEE_CIS,1,2,4,0.18339718,68.327143,True,False
IEEE_CIS,1,3,4,0.18654473,68.327143,True,False
IEEE_CIS,2,0,4,0.18780828,68.286499,True,False
IEEE_CIS,2,1,4,0.1965918,68.286499,True,False
IEEE_CIS,2,2,4,0.17352306,68.286499,True,False
IEEE_CIS,2,3,4,0.18633832,68.286499,True,False
IEEE_CIS,3,0,4,0.19634692,68.243241,True,False
IEEE_CIS,3,1,4,0.19041147,68.243241,True,False
IEEE_CIS,3,2,4,0.17218719,68.243241,True,False
IEEE_CIS,3,3,4,0.17551769,68.243241,True,False
IEEE_CIS,4,0,4,0.17913076,68.198105,True,False
IEEE_CIS,4,1,4,0.18227213,68.198105,True,False
IEEE_CIS,4,2,4,0.17762506,68.198105,True,False
IEEE_CIS,4,3,4,0.18014434,68.198105,True,False
IEEE_CIS,5,0,4,0.17367816,68.151234,True,False
IEEE_CIS,5,1,4,0.17999604,68.151234,True,False
IEEE_CIS,5,2,4,0.18385099,68.151234,True,False
IEEE_CIS,5,3,4,0.18361521,68.151234,True,False
IEEE_CIS,6,0,4,0.18239875,68.101462,True,False
IEEE_CIS,6,1,4,0.17754349,68.101462,True,False
IEEE_CIS,6,2,4,0.17627398,68.101462,True,False
IEEE_CIS,6,3,4,0.18299656,68.101462,True,False
IEEE_CIS,7,0,4,0.17873352,68.04796,True,False
IEEE_CIS,7,1,4,0.17493978,68.04796,True,False
IEEE_CIS,7,2,4,0.18836497,68.04796,True,False
IEEE_CIS,7,3,4,0.17411366,68.04796,True,False
IEEE_CIS,8,0,4,0.18282304,67.991909,True,False
IEEE_CIS,8,1,4,0.17631405,67.991909,True,False
IEEE_CIS,8,2,4,0.18048876,67.991909,True,False
IEEE_CIS,8,3,4,0.18095616,67.991909,True,False
IEEE_CIS,9,0,4,0.17374586,67.932488,True,False
IEEE_CIS,9,1,4,0.17642348,67.932488,True,False
IEEE_CIS,9,2,4,0.18140216,67.932488,True,False
IEEE_CIS,9,3,4,0.18015664,67.932488,True,False
IEEE_CIS,10,0,4,0.17218981,67.870412,True,False
IEEE_CIS,10,1,4,0.18311314,67.870412,True,False
IEEE_CIS,10,2,4,0.18056449,67.870412,True,False
IEEE_CIS,10,3,4,0.16578065,67.870412,True,False
IEEE_CIS,11,0,4,0.18196705,67.8054,True,False
IEEE_CIS,11,1,4,0.17183946,67.8054,True,False
IEEE_CIS,11,2,4,0.17344987,67.8054,True,False
IEEE_CIS,11,3,4,0.19139614,67.8054,True,False
IEEE_CIS,12,0,4,0.16810993,67.735792,True,False
IEEE_CIS,12,1,4,0.17730232,67.735792,True,False
IEEE_CIS,12,2,4,0.17825663,67.735792,True,False
IEEE_CIS,12,3,4,0.16448279,67.735792,True,False
IEEE_CIS,13,0,4,0.17229285,67.663888,True,False
IEEE_CIS,13,1,4,0.1891892,67.663888,True,False
IEEE_CIS,13,2,4,0.18846788,67.663888,True,False
IEEE_CIS,13,3,4,0.17786708,67.663888,True,False
IEEE_CIS,14,0,4,0.17532973,67.586796,True,False
IEEE_CIS,14,1,4,0.18232886,67.586796,True,False
IEEE_CIS,14,2,4,0.16539161,67.586796,True,False
IEEE_CIS,14,3,4,0.18593254,67.586796,True,False
IEEE_CIS,15,0,4,0.1716765,67.506714,True,False
IEEE_CIS,15,1,4,0.17150091,67.506714,True,False
IEEE_CIS,15,2,4,0.17094489,67.506714,True,False
IEEE_CIS,15,3,4,0.18661827,67.506714,True,False
IEEE_CIS,16,0,4,0.17357445,67.422941,True,False
IEEE_CIS,16,1,4,0.16744254,67.422941,True,False
IEEE_CIS,16,2,4,0.16698461,67.422941,True,False
IEEE_CIS,16,3,4,0.16079204,67.422941,True,False
IEEE_CIS,17,0,4,0.16084983,67.336226,True,False
IEEE_CIS,17,1,4,0.17255702,67.336226,True,False
IEEE_CIS,17,2,4,0.1703841,67.336226,True,False
IEEE_CIS,17,3,4,0.16361067,67.336226,True,False
IEEE_CIS,18,0,4,0.17748223,67.247732,True,False
IEEE_CIS,18,1,4,0.17719734,67.247732,True,False
IEEE_CIS,18,2,4,0.15448204,67.247732,True,False
IEEE_CIS,18,3,4,0.17079058,67.247732,True,False
IEEE_CIS,19,0,4,0.16444963,67.151487,True,False
IEEE_CIS,19,1,4,0.15796451,67.151487,True,False
IEEE_CIS,19,2,4,0.17539541,67.151487,True,False
IEEE_CIS,19,3,4,0.1650036,67.151487,True,False
IEEE_CIS,20,0,4,0.16305526,67.053362,True,False
IEEE_CIS,20,1,4,0.16263253,67.053362,True,False
IEEE_CIS,20,2,4,0.16237454,67.053362,True,False
IEEE_CIS,20,3,4,0.15927495,67.053362,True,False
IEEE_CIS,21,0,4,0.17078685,66.953397,True,False
IEEE_CIS,21,1,4,0.15404322,66.953397,True,False
IEEE_CIS,21,2,4,0.15572478,66.953397,True,False
IEEE_CIS,21,3,4,0.16065731,66.953397,True,False
IEEE_CIS,22,0,4,0.15388393,66.851526,True,False
IEEE_CIS,22,1,4,0.16912402,66.851526,True,False
IEEE_CIS,22,2,4,0.16081018,66.851526,True,False
IEEE_CIS,22,3,4,0.16790412,66.851526,True,False
IEEE_CIS,23,0,4,0.15448034,66.744611,True,False
IEEE_CIS,23,1,4,0.14967515,66.744611,True,False
IEEE_CIS,23,2,4,0.15843291,66.744611,True,False
IEEE_CIS,23,3,4,0.15896184,66.744611,True,False
IEEE_CIS,24,0,4,0.15663472,66.635478,True,False
IEEE_CIS,24,1,4,0.15173164,66.635478,True,False
IEEE_CIS,24,2,4,0.15626786,66.635478,True,False
IEEE_CIS,24,3,4,0.15231813,66.635478,True,False
IEEE_CIS,25,0,4,0.14289784,66.523218,True,False
IEEE_CIS,25,1,4,0.15041702,66.523218,True,False
IEEE_CIS,25,2,4,0.16519498,66.523218,True,False
IEEE_CIS,25,3,4,0.14574164,66.523218,True,False
IEEE_CIS,26,0,4,0.14637887,66.411101,True,False
IEEE_CIS,26,1,4,0.15815653,66.411101,True,False
IEEE_CIS,26,2,4,0.14973328,66.411101,True,False
IEEE_CIS,26,3,4,0.14282915,66.411101,True,False
IEEE_CIS,27,0,4,0.15706499,66.298188,True,False
IEEE_CIS,27,1,4,0.15190474,66.298188,True,False
IEEE_CIS,27,2,4,0.17351998,66.298188,True,False
IEEE_CIS,27,3,4,0.14726468,66.298188,True,False
IEEE_CIS,28,0,4,0.15244923,66.176472,True,False
IEEE_CIS,28,1,4,0.14466028,66.176472,True,False
IEEE_CIS,28,2,4,0.14004433,66.176472,True,False
IEEE_CIS,28,3,4,0.15809404,66.176472,True,False
IEEE_CIS,29,0,4,0.15858433,66.055363,True,False
IEEE_CIS,29,1,4,0.14247525,66.055363,True,False
IEEE_CIS,29,2,4,0.15610109,66.055363,True,False
IEEE_CIS,29,3,4,0.14430951,66.055363,True,False
