Block_size_B,Trees,Total_time_s,Best_val_AUC,Speedup,AUC_gap
1,400,4743.7,0.80806,1.00x,0.0
2,400,2452.5,0.77434,1.93x,0.03372
3,400,1802.4,0.75075,2.63x,0.05731
4,400,1423.7,0.73117,3.33x,0.07689
