Config,Budget_s,Time_used_s,Trees_built,Best_val_AUC,AUC_gap
"Baseline (B=1, col=1.0)",76.9,76.9,300,0.887,0.0
"Block B=2, col=0.5",76.9,72.2,464,0.87936,0.00764
